Tiempo en seg,Referencia,Salida,Estado 1 (VC1),Control (Vi)
120396.0724871,0.59,0.6,1.15,1.78
120396.1314358,0.59,0.61,1.15,1.78
120396.20518,0.59,0.61,1.15,1.78
120396.2663869,0.59,0.61,1.16,1.78
120396.3280462,0.59,0.61,1.15,1.78
120396.379583,0.59,0.61,1.16,1.78
120396.4373589,0.59,0.6,1.15,1.78
120396.5024749,0.59,0.6,1.15,1.78
120396.5913006,0.59,0.61,1.16,1.77
120396.6443581,0.59,0.61,1.16,1.78
120396.706241,0.59,0.61,1.16,1.78
120396.7680299,0.59,0.61,1.16,1.78
120396.8345963,0.59,0.61,1.15,1.78
120396.899666,0.59,0.6,1.15,1.76
120396.9543806,0.59,0.61,1.16,1.76
120397.0078075,0.59,0.61,1.15,1.76
120397.0618647,0.59,0.6,1.15,1.76
120397.112196,0.59,0.61,1.16,1.78
120397.1677079,0.59,0.6,1.15,1.78
120397.2287441,0.59,0.62,1.16,1.77
120397.2819298,0.59,0.61,1.15,1.76
120397.3358501,0.59,0.6,1.15,1.78
120397.3864192,0.59,0.61,1.15,1.76
120397.4475872,0.59,0.6,1.15,1.76
120397.4985108,0.59,0.61,1.15,1.78
120397.5601515,0.59,0.6,1.15,1.78
120397.616565,0.59,0.61,1.15,1.78
120397.6719294,0.59,0.61,1.16,1.78
120397.723012,0.59,0.62,1.16,1.77
120397.7969211,0.59,0.6,1.15,1.78
120397.880055,0.59,0.61,1.15,1.78
120397.9337264,0.59,0.59,1.16,1.78
120397.9902736,0.59,0.59,1.16,1.78
120398.0496628,0.59,0.6,1.15,1.76
120398.1043085,0.59,0.62,1.15,1.77
120398.1583118,0.59,0.63,1.15,1.77
120398.2117941,0.59,0.62,1.16,1.77
120398.2626935,0.59,0.61,1.15,1.78
120398.3170697,0.59,0.62,1.15,1.76
120398.3678931,0.59,0.61,1.15,1.78
120398.4181135,0.59,0.6,1.16,1.78
120398.4683283,0.59,0.61,1.16,1.78
120398.519228,0.59,0.6,1.15,1.78
120398.5730511,0.59,0.6,1.16,1.78
120398.6234248,0.59,0.61,1.16,1.78
120398.6776455,0.59,0.6,1.15,1.76
120398.7311784,0.59,0.61,1.15,1.78
120398.7907126,0.59,0.61,1.15,1.78
120398.8498387,0.59,0.6,1.15,1.78
120398.9000968,0.59,0.6,1.15,1.78
120398.9532532,0.59,0.6,1.15,1.78
120399.0083505,0.59,0.6,1.15,1.78
120399.0611002,0.59,0.6,1.15,1.76
120399.1283187,0.59,0.61,1.15,1.78
120399.2114626,0.59,0.61,1.16,1.78
120399.2659727,0.59,0.61,1.16,1.78
